business_name,business_category,website,phone,email,address,city,state,zip_code,country,rating,review_count,source_name,source_url,date_collected,quality_score,recommended_contact_method,multi_source,notes
2C Digital Leads Llc,Digital Marketing Agency,,,,2136 W SCHILLER ST  1R,Chicago,Il,60622,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Marketing / Advertising / Public Relations (Home Based Business)
"333 N. Green Street Location Ii, Llc",Digital Marketing Agency,,,,333 N GREEN ST 6-8,Chicago,Il,60607,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Operation of an Administrative Commercial Office | Provide Advertising or Marketing Services | Miscellaneous Commercial Services
33 Enterprises LLC,Digital Marketing Agency,,,,1816 W DIVISION ST 2 2N,Chicago,Il,60622,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Marketing / Advertising / Public Relations (Home Based Business) | Online Sales (Home Based Business)
"3Q Digital, Inc.",Digital Marketing Agency,,,,1 N LA SALLE ST 28TH 2800,Chicago,Il,60602,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Operation of an Administrative Commercial Office | Provide Advertising or Marketing Services
444 Construction LLC,Digital Marketing Agency,,,,10200 S HOYNE AVE 2,Chicago,Il,60643,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Home Repair Services (Home Based Business) | Marketing / Advertising / Public Relations (Home Based Business) | Residential Remodeling and Repair (Home Based Business)
"6C Agency, Llc",Digital Marketing Agency,,,,1927 N MILWAUKEE AVE  504,Chicago,Il,60647,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Marketing / Advertising / Public Relations (Home Based Business)
"8 Days A Week, Inc.",Digital Marketing Agency,,,,1550 N DAMEN AVE  201,Chicago,Il,60622,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Provide Advertising or Marketing Services
Aaron Youngren,Digital Marketing Agency,,,,4510 W BELMONT AVE,Chicago,Il,60641,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Graphic Design (Home Based Business) | Marketing / Advertising / Public Relations (Home Based Business)
About Face Theatre Collective,Digital Marketing Agency,,,,1222 W WILSON AVE  2,Chicago,Il,60640,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Operation of an Administrative Commercial Office | Provide Advertising or Marketing Services | Not-For-Profit Selling Raffles for Prizes of $50 or More
"Abt SRBI, Inc.",Digital Marketing Agency,,,,640 N LA SALLE DR 6 640,Chicago,Il,60654,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Provide Advertising or Marketing Services
Acb Global Llc,Digital Marketing Agency,,,,7443  WASHINGTON ST 503,Forest Park,Il,60130,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Provide Advertising or Marketing Services
Accelerate Advisors Llc,Digital Marketing Agency,,,,1312 S PLYMOUTH CT 2ND,Chicago,Il,60605,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Marketing / Advertising / Public Relations (Home Based Business)
Accentuated Behavioral Concepts And Integrated Solutions (Abc Is) Llc,Digital Marketing Agency,,,,3353 W WILSON AVE 3 3R,Chicago,Il,60625,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Provide Home Health Care Services (Home Based Business) | Marketing / Advertising / Public Relations (Home Based Business) | Medical Billing (Home Based Business) | Professional Consulting (Home Based Business) | Other Home Based Businesses
Accion Hispano Llc,Digital Marketing Agency,,,,4123 W 26TH ST,Chicago,Il,60623,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Operation of an Administrative Commercial Office | Provide Advertising or Marketing Services
Ac Social Management Llc,Digital Marketing Agency,,,,1946 N WILMOT AVE 3RD 3,Chicago,Il,60647,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Marketing / Advertising / Public Relations (Home Based Business)
Adg Foods Llc,Digital Marketing Agency,,,,855 N SKOKIE HWY  D,Lake Bluff,Il,60044,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Provide Advertising or Marketing Services
Adrian Mihai Tarjoianu,Digital Marketing Agency,,,,4920 N MARINE DR 5TH S507,Chicago,Il,60640,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Marketing / Advertising / Public Relations (Home Based Business)
"AdRoll, Inc.",Digital Marketing Agency,,,,100 S STATE ST,Chicago,Il,60603,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Provide Advertising or Marketing Services
Adssio Corporation,Digital Marketing Agency,,,,5415 S MILLARD AVE 1ST REAR,Chicago,Il,60632,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Marketing / Advertising / Public Relations (Home Based Business)
"Adtraction Media, Llc",Digital Marketing Agency,,,,321 N CLARK ST 25 2500,Chicago,Il,60654,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Operation of an Administrative Commercial Office | Provide Advertising or Marketing Services
Advantage Sales & Marketing Llc,Digital Marketing Agency,,,,452 N SANGAMON ST,Chicago,Il,60642,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Provide Advertising or Marketing Services
"After The Whistle, Llc",Digital Marketing Agency,,,,414 N ORLEANS ST 4TH 403,Chicago,Il,60654,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Provide Advertising or Marketing Services
AG Fire Safety LLC,Digital Marketing Agency,,,,4309 W ROSCOE ST  1,Chicago,Il,60641,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Marketing / Advertising / Public Relations (Home Based Business)
Aim Strategies Llc,Digital Marketing Agency,,,,1212 N ASHLAND AVE 1 1007,Chicago,Il,60622,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Provide Advertising or Marketing Services
"A.J. Wright And Associates, Ltd.",Digital Marketing Agency,,,,5211 S WABASH AVE,Chicago,Il,60615,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Marketing / Advertising / Public Relations (Home Based Business)
Alan Robinson,Digital Marketing Agency,,,,757 N ORLEANS ST 7TH 708,Chicago,Il,60654,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Marketing / Advertising / Public Relations (Home Based Business)
Alexandra Stayer,Digital Marketing Agency,,,,200 E CHESTNUT ST 7 723,Chicago,Il,60611,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Marketing / Advertising / Public Relations (Home Based Business) | Event Planning Services / Wedding Planner (Home Based Business)
Allison Murray,Digital Marketing Agency,,,,4836 N PAULINA ST  1,Chicago,Il,60640,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Marketing / Advertising / Public Relations (Home Based Business)
All Points Public Relations LLC,Digital Marketing Agency,,,,400 W ERIE ST  201,Chicago,Il,60654,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Provide Advertising or Marketing Services
"Alpha245, Inc.",Digital Marketing Agency,,,,222 W MERCHANDISE MART PLZ 5TH 550,Chicago,Il,60654,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Provide Advertising or Marketing Services
America Business College Inc.,Digital Marketing Agency,,,,4100 S ASHLAND AVE 1ST 1010,Chicago,Il,60609,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Provide Advertising or Marketing Services
American Association Of Individual Investors,Digital Marketing Agency,,,,625 N MICHIGAN AVE  1720,Chicago,Il,60611,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Provide Financial and Accounting Services | Provide Advertising or Marketing Services | Provide Publishing Services
American Chamber Of Commerce Resources Llc,Digital Marketing Agency,,,,1033 S CLAREMONT AVE,Chicago,Il,60612,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Marketing / Advertising / Public Relations (Home Based Business) | Other Home Based Businesses
"Ami Celebrity Publications, Llc",Digital Marketing Agency,,,,500 N MICHIGAN AVE  600,Chicago,Il,60611,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Provide Advertising or Marketing Services
"Amira Learning, Inc.",Digital Marketing Agency,,,,5214F  DIAMOND HEIGHTS BLVD  3255,San Francisco,Ca,94131,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Provide Advertising or Marketing Services
"Amusing Violet, Llc",Digital Marketing Agency,,,,1720 W 19TH ST 1ST,Chicago,Il,60608,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Marketing / Advertising / Public Relations (Home Based Business) | Professional Consulting (Home Based Business)
Andrew C Howard,Digital Marketing Agency,,,,2223 W GREENLEAF AVE 1,Chicago,Il,60645,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Marketing / Advertising / Public Relations (Home Based Business)
Anthony Peacock,Digital Marketing Agency,,,,332 S MICHIGAN AVE 10TH 1032-M775,Chicago,Il,60604,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Provide Advertising or Marketing Services
Antonio V. King,Digital Marketing Agency,,,,501 E 32ND ST 12TH 1210,Chicago,Il,60616,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Marketing / Advertising / Public Relations (Home Based Business)
April May Llc,Digital Marketing Agency,,,,1250 S MICHIGAN AVE 9 909,Chicago,Il,60605,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Marketing / Advertising / Public Relations (Home Based Business)
"A Rational Perspective, LLC",Digital Marketing Agency,,,,360 E SOUTH WATER ST 35 3502,Chicago,Il,60601,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Freelance Writer (Home Based Business) | Marketing / Advertising / Public Relations (Home Based Business) | Professional Consulting (Home Based Business) | Other Home Based Businesses
"Arena Partners, LLC",Digital Marketing Agency,,,,1999  JOHNS DR,Glenview,Il,60025,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Provide Advertising or Marketing Services
"ARS Advertising Group, LLC",Digital Marketing Agency,,,,1 N STATE ST 14 1500,Chicago,Il,60602,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Provide Advertising or Marketing Services
Artengr Marketing Solutions Inc.,Digital Marketing Agency,,,,5245 N CENTRAL AVE,Chicago,Il,60630,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Operation of an Administrative Commercial Office | Provide Advertising or Marketing Services
"Ashlen Enterprises, LLC",Digital Marketing Agency,,,,73 E LAKE ST 28 2805,Chicago,Il,60601,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Marketing / Advertising / Public Relations (Home Based Business) | Professional Consulting (Home Based Business) | Online Sales (Home Based Business) | Media Consulting (Home Based Business)
"Assurance International, Inc.",Digital Marketing Agency,,,,650 N DEARBORN ST  200,Chicago,Il,60654,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Provide Advertising or Marketing Services
"Audience Architects, Nfp",Digital Marketing Agency,,,,641 W LAKE ST  200,Chicago,Il,60661,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Provide Advertising or Marketing Services | Not-For-Profit Selling Raffles for Prizes of $50 or More | Retail Sales of General Merchandise
Authentic Campaigns Inc.,Digital Marketing Agency,,,,321 N CLARK ST  730,Chicago,Il,60654,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Provide Business and Management Consulting | Provide Advertising or Marketing Services
"Authentic Commercial Partners, LLC",Digital Marketing Agency,,,,321 N CLARK ST  730,Chicago,Il,60654,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Provide Advertising or Marketing Services
"Avante Advertising, Inc.",Digital Marketing Agency,,,,17 N STATE ST 8 890,Chicago,Il,60602,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Provide Advertising or Marketing Services
"Avenue Group, LLC",Digital Marketing Agency,,,,954 W WASHINGTON BLVD 7 750,Chicago,Il,60607,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Provide Business and Management Consulting | Provide Graphic Design and Consultation Services | Provide Advertising or Marketing Services
"Avoq, Llc",Digital Marketing Agency,,,,222 W MERCHANDISE MART PLZ 24 2400,Chicago,Il,60654,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Provide Advertising or Marketing Services
Awin Inc.,Digital Marketing Agency,,,,167 N GREEN ST  04A-117,Chicago,Il,60607,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Provide Advertising or Marketing Services
Bamko Llc,Digital Marketing Agency,,,,303 W ERIE ST 4 415,Chicago,Il,60054,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Provide Advertising or Marketing Services
Barbara Labra Hernandez,Digital Marketing Agency,,,,3817 N KENMORE AVE 2 UNIT 2,Chicago,Il,60613,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Marketing / Advertising / Public Relations (Home Based Business)
"Bars 2238, LLC",Digital Marketing Agency,,,,2108 N LAPORTE AVE 1ST,Chicago,Il,60639,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Marketing / Advertising / Public Relations (Home Based Business)
Basis Global Technologies Inc.,Digital Marketing Agency,,,,222 W HUBBARD ST 2 200,Chicago,Il,60654,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Provide Advertising or Marketing Services | Provide Computer Design/Development Consulting
Batesmeron Sweet Design Incorporated,Digital Marketing Agency,,,,1006 S MICHIGAN AVE 6 601,Chicago,Il,60605,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Provide Advertising or Marketing Services
Baws Studio Llc,Digital Marketing Agency,,,,908 W ADDISON ST 3,Chicago,Il,60613,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Marketing / Advertising / Public Relations (Home Based Business)
B Corp Store Inc.,Digital Marketing Agency,,,,4001 N RAVENSWOOD AVE 4TH 404,Chicago,Il,60613,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Provide Advertising or Marketing Services
"Beacon Solutions, Inc.",Digital Marketing Agency,,,,4809 N RAVENSWOOD AVE 4 422,Chicago,Il,60640,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Operation of an Administrative Commercial Office | Provide Advertising or Marketing Services | Miscellaneous Commercial Services | Provide Publishing Services
"Belo Marketing Solution, Inc.",Digital Marketing Agency,,,,17 N STATE ST 8 890,Chicago,Il,60602,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Provide Advertising or Marketing Services
Belway Development LLC,Digital Marketing Agency,,,,605 W BELMONT AVE FIRST,Chicago,Il,60657,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Provide Advertising or Marketing Services
Beth Interactive Inc.,Digital Marketing Agency,,,,4541 N RAVENSWOOD AVE 3 303,Chicago,Il,60640,United States,,,City of Chicago Open Data,https://data.cityofchicago.org/resource/r5kz-chrr.json,2026-06-30,20,No Reliable Contact Method,False,Operation of an Administrative Commercial Office | Provide Advertising or Marketing Services
